tier,session,h,block,n,vol,w_eff,w_real,w_impact
101-1000,midday,1s,134,70261,5719860.0,62809260.83058596,-23185403.082382347,85994663.91296832
101-1000,midday,1s,135,64619,5305102.0,68042102.13538522,-39681235.08313343,107723337.21851866
101-1000,midday,1s,136,69599,6089907.0,67484354.90755968,-38253207.84348035,105737562.75104003
101-1000,midday,1s,137,74038,6544717.0,67775238.44584772,-46633220.05664594,114408458.50249365
101-1000,midday,1s,138,66884,5700214.0,57465855.7138636,-19681260.176990364,77147115.89085396
101-1000,midday,1s,139,64685,5779192.0,66312786.42479222,-22262020.60171743,88574807.02650964
101-1000,midday,1s,140,56509,4697759.0,48468229.63796437,-29681973.181011684,78150202.81897604
101-1000,midday,1s,141,53160,4623049.0,50466474.274428956,-21403626.932001077,71870101.20643002
101-1000,midday,1s,142,59341,4852134.0,47376206.45648073,-25810543.109958723,73186749.56643945
101-1000,midday,1s,143,53492,4593332.0,67329624.35025957,-24903853.03460364,92233477.38486321
101-1000,midday,1s,144,73128,5835997.0,53124964.73991756,-26958965.55069756,80083930.29061511
101-1000,midday,1s,145,55652,4541169.0,58315397.671322085,-33974154.04703236,92289551.71835443
101-1000,midday,1s,146,53768,4441188.0,43894860.483774394,-18060116.202747907,61954976.686522305
101-1000,midday,1s,147,53016,4225901.0,50351482.54537327,-19133732.21878074,69485214.76415403
101-1000,midday,1s,148,52533,4614332.0,57998862.42440534,-42686942.13985413,100685804.56425947
101-1000,midday,1s,149,53238,4374260.0,54341201.40120878,-19368286.910174143,73709488.3113829
101-1000,midday,1s,150,52035,4352313.0,45872506.94189131,-42967229.688277945,88839736.63016926
101-1000,midday,1s,151,48041,4113074.0,55730238.627683535,-19601254.557423748,75331493.18510728
101-1000,midday,1s,152,50554,4264606.0,44950009.949459694,-17065492.27380801,62015502.22326772
101-1000,midday,1s,153,46400,3664038.0,43887915.02783793,-16692133.970304389,60580048.99814232
101-1000,midday,1s,154,53015,4133181.0,39825622.164620206,-18367726.698472396,58193348.863092594
